I,XL,XU,XR,F(XR),ERROR
0,2.0,1.0,1.5,0.0707372016677029,1.0
1,2.0,1.5,1.75,-0.17824605564949209,0.14285714285714285
2,1.75,1.5,1.625,-0.05417713502693632,0.07692307692307693
3,1.625,1.5,1.5625,0.008296231623858378,0.04
4,1.625,1.5625,1.59375,-0.022951657653640416,0.0196078431372549
5,1.59375,1.5625,1.578125,-0.007328607602110553,0.009900990099009901
