I,XL,XU,XR,F(XR),ERROR
0,-1.0,2.0,0.5,1.625,1.0
1,-1.0,0.5,-0.25,0.734375,3.0
2,-1.0,-0.25,-0.625,0.130859375,0.6
3,-1.0,-0.625,-0.8125,-0.348876953125,0.23076923076923078
4,-0.8125,-0.625,-0.71875,-0.090057373046875,0.13043478260869565
5,-0.71875,-0.625,-0.671875,0.024829864501953125,0.06976744186046512
6,-0.71875,-0.671875,-0.6953125,-0.03146791458129883,0.033707865168539325
7,-0.6953125,-0.671875,-0.68359375,-0.003037393093109131,0.017142857142857144
8,-0.68359375,-0.671875,-0.677734375,0.010966040194034576,0.008645533141210375
