I,XL,XU,XR,F(XR),ERROR
0,1.0,4.0,2.5,2.25,1.0
1,1.0,2.5,1.75,-0.9375,0.42857142857142855
2,1.75,2.5,2.125,0.515625,0.17647058823529413
3,1.75,2.125,1.9375,-0.24609375,0.0967741935483871
4,1.9375,2.125,2.03125,0.1259765625,0.046153846153846156
5,1.9375,2.03125,1.984375,-0.062255859375,0.023622047244094488
6,1.984375,2.03125,2.0078125,0.03131103515625,0.011673151750972763
7,1.984375,2.0078125,1.99609375,-0.0156097412109375,0.005870841487279843
