I,XL,XU,XR,F(XR),ERROR
0,1.0,3.0,2.0,2.3890560989306495,1.0
1,1.0,2.0,1.5,-0.5183109296619355,0.3333333333333333
2,1.5,2.0,1.75,0.7546026760057298,0.14285714285714285
3,1.5,1.75,1.625,0.07841903718008059,0.07692307692307693
4,1.5,1.625,1.5625,-0.22926681803239735,0.04
5,1.5625,1.625,1.59375,-0.07782749056770921,0.0196078431372549
6,1.59375,1.625,1.609375,-0.0003145522757739272,0.009708737864077669
