I,XL,XU,XR,F(XR),ERROR
0,0.5,2.0,1.25,0.22314355131420976,2.6
1,0.5,1.25,0.875,-0.13353139262452263,0.42857142857142855
2,0.875,1.25,1.0625,0.06062462181643484,0.17647058823529413
3,0.875,1.0625,0.96875,-0.0317486983145803,0.0967741935483871
4,0.96875,1.0625,1.015625,0.015504186535965254,0.046153846153846156
5,0.96875,1.015625,0.9921875,-0.007843177461025893,0.023622047244094488
6,0.9921875,1.015625,1.00390625,0.003898640415657323,0.011673151750972763
7,0.9921875,1.00390625,0.998046875,-0.0019550348358033506,0.005870841487279843
